Page Id,Page Name,Page Url,Page Template,Parent Page Id,Default Child Template,Page Order Value,Is Link (0 or 1),Is Live (0 or 1),In Sitemap (0 or 1),Container for Group Id,Container Url Priority,Canonical Parent Page Id,Group Ids (Comma Separated)
1,Home,/,home,,,1,0,1,1,,,0,
2,About Us,about,internal,,,2,0,1,1,,,0,
3,Contact Us,contact,contact,,,6,0,1,1,,,0,
4,Thank You,confirm,internal,3,,1,0,1,0,,,0,
5,Meet the Team,meet-the-team,team,,,3,0,1,1,,,0,
6,Locations,locations,category,,,4,0,1,1,,,0,
7,Products & Services,products,category,,,5,0,1,1,,,0,
8,Mountains,mountains,internal,6,,1,0,1,1,,,6,
9,The Wall,wall,internal,6,,2,0,1,1,,,0,
10,Nice Lake,lake,internal,6,,3,0,1,1,,,0,
11,Patch of Trees,trees,internal,6,,4,0,1,1,,,0,
12,Services,services,category,7,,1,0,1,1,,,0,
13,Products,range,category,7,,2,0,1,1,,,0,
14,Starter Product,starter-product,internal,13,,1,0,1,1,,,0,
15,Vouchers,voucher,internal,13,,2,0,1,1,,,0,
16,Travelers Bundle,travelers-bundle,internal,13,,3,0,1,1,,,0,
17,Explorers Bag,explorers-bag,internal,13,,4,0,1,1,,,0,
18,Survival Kit,survival-kit,internal,13,,5,0,1,1,,,0,
19,Tent Pack,tents,internal,13,,6,0,1,1,,,0,
20,Snow Clump,snow,internal,13,,7,0,1,1,,,0,
21,Sitemap,sitemap,sitemap,,,7,0,1,0,,,0,
22,Our Blog,blog,blog,,,8,0,1,1,1,,0,
23,New Website Launched,new-website-launched,blog-post,-1,,0,0,1,1,,,0,1
24,Come Visit Us,visit-us,blog-post,-1,,0,0,1,1,,,22,1
25,Category,category,blog-category,22,,1,0,1,1,1,,0,
26,Search,search,blog-search,22,,3,0,1,1,,,0,
27,Archive,archive,blog-archives,22,,2,0,1,1,1,,0,
28,Travel,travel,internal,12,,1,0,1,1,,,0,
